#JD       Mag   Obs  Type
40190.3   5.5   DK   Vis.
40191.5   6.2   VAM   Vis.
40196.6   5.2   RB   Vis.
40196.6   6.1   HTN   Vis.
40196.6   5.7   HE   Vis.
40196.6   5.6   COK   Vis.
40196.7   5.5   SSL   Vis.
40197.5   5.3   RB   Vis.
40197.6   6.1   VAM   Vis.
40197.6   5.9   LX   Vis.
40198.3   5.6   DK   Vis.
40198.6   5.7   HE   Vis.
40198.6   6   AD   Vis.
40199.5   5.4   RB   Vis.
40199.5   5.5   OV   Vis.
40199.6   5.8   MAG   Vis.
40199.6   5.9   JT   Vis.
40199.9   5.6   FRW   Vis.
40200.3   6   BQ   Vis.
40200.5   5.8   SHA   Vis.
40200.5   5.3   RB   Vis.
40200.5   5.6   ODA   Vis.
40200.6   6.2   VAM   Vis.
40200.6   5.8   KRJ   Vis.
40200.6   6   BRJ   Vis.
40200.6   5.8   BJ   Vis.
40201.35   6   BQ   Vis.
40201.5   6.1   GLG   Vis.
40201.7   5.4   RB   Vis.
40202.21   6.1   BSU   Vis.
40202.25   5.9   BQ   Vis.
40202.3   6.4   LKS   Vis.
40202.3   5.7   DKF   Vis.
40202.3   5.4   DK   Vis.
40202.5   5.6   RB   Vis.
40202.6   5.5   FT   Vis.
40202.6   5.9   DOK   Vis.
40202.7   5.6   HAE   Vis.
40203.25   6.1   BQ   Vis.
40203.7   6.1   CR   Vis.
40204.25   6.1   BQ   Vis.
40205.25   6.1   BQ   Vis.
40205.5   6   RB   Vis.
40205.6   5.6   BRG   Vis.
40205.6   5.6   AND   Vis.
40205.6   6.4   AD   Vis.
40206.3   6.5   HEE   Vis.
40206.5   6.1   RB   Vis.
40207.3   5.4   DK   Vis.
40207.5   6.2   RB   Vis.
40207.5   5.6   PO   Vis.
40207.5   5.9   BJ   Vis.
40207.6   6.5   VAM   Vis.
40207.6   6.3   SSL   Vis.
40207.7   5.9   MJ   Vis.
40208.25   6.5   BSU   Vis.
40209.6   5.8   LGH   Vis.
40209.7   5.8   FT   Vis.
40211.6   5.8   TV   Vis.
40212.4   6.5   HEE   Vis.
40212.6   6.8   VAM   Vis.
40212.6   6.3   HE   Vis.
40213.6   6.3   RB   Vis.
40214.5   6.4   HE   Vis.
40214.6   6.3   RB   Vis.
